name,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,id
Gears of War,9,11.5,25,https://howlongtobeat.com/games/256px-Gears_of_War.png,3862
Metro 2033 Redux,9,11.5,22.5,https://howlongtobeat.com/games/Metro2033Redux_292x136.jpg,20737
Gears of War 4,9,11.5,14,https://howlongtobeat.com/games/Gears_of_War_4.jpg,26788
Gears of War Ultimate Edition,9,11,16.5,https://howlongtobeat.com/games/Gears_of_War_Ultimate_Edition.jpg,26794
Unavowed,9,10.5,16,https://howlongtobeat.com/games/54219_Unavowed.jpg,54219
Wandersong,9,10.5,11,https://howlongtobeat.com/games/61375_Wandersong.jpg,61375
Giana Sisters Twisted Dreams  Directors Cut,9,0,0,https://howlongtobeat.com/games/47376_Giana_Sisters_Twisted_Dreams_-_Directors_Cut.jpeg,47376
Void Bastards,8.5,12,17,https://howlongtobeat.com/games/67475_Void_Bastards.jpg,67475
Ori and the Blind Forest Definitive Edition,8.5,10.5,11.5,https://howlongtobeat.com/games/36755_Ori_and_the_Blind_Forest_Definitive_Edition.jpg,36755
Stranger Things 3 The Game,8.5,9,14,https://howlongtobeat.com/games/68766_Stranger_Things_3_The_Game.png,68766
Halo Wars 2,8,13.5,23,https://howlongtobeat.com/games/37985_Halo_Wars_2.jpg,37985
Halo 5 Guardians,8,12,23,https://howlongtobeat.com/games/Halo_5_Guardians.png,19267
Perfect Dark Zero,8,11.5,20,https://howlongtobeat.com/games/250px-Perfect_Dark_Zero_Coverart.png,6967
Shadow Warrior 2,7.5,15.5,22,https://howlongtobeat.com/games/39740_Shadow_Warrior_2.jpg,39740
Alvastia Chronicles,7.5,13,0,https://howlongtobeat.com/games/67659_Alvastia_Chronicles.jpg,67659
de Blob,7.5,12,19.5,https://howlongtobeat.com/games/De-Blob-US.jpg,2295
DEMONS TILT,7,13,0,https://howlongtobeat.com/games/64628_DEMONS_TILT.jpg,64628
West of Loathing,7,12,18,https://howlongtobeat.com/games/48134_West_of_Loathing.jpg,48134
World War Z 2019,7,11.5,19,https://howlongtobeat.com/games/64828_World_War_Z.jpg,64828
Journey to the Savage Planet,7,10.5,15.5,https://howlongtobeat.com/games/68368_Journey_to_the_Savage_Planet.jpg,68368
Gears of War Judgment,7,8,9.5,https://howlongtobeat.com/games/Gears_of_War-_Judgment_cover.jpg,3867
Undertale,6.5,10.5,20.5,https://howlongtobeat.com/games/Undertale_header.jpg,30385
Overcooked 2,6.5,9.5,12,https://howlongtobeat.com/games/57518_Overcooked_2.jpeg,57518
Wizard of Legend,6,16,23,https://howlongtobeat.com/games/26294_Wizard_of_legend.jpg,26294
Super Luckys Tale,6,8.5,10.5,https://howlongtobeat.com/games/46426_Super_Luckys_Tale.jpg,46426
Yokus Island Express,6,8,11,https://howlongtobeat.com/games/56962_Yokus_Island_Express.jpg,56962
Death Squared,6,7,10,https://howlongtobeat.com/games/47424_Death_Squared.jpg,47424
Lonely Mountains Downhill,5.5,14.5,33,https://howlongtobeat.com/games/71406_Lonely_Mountains_Downhill.jpg,71406
Human Fall Flat,5.5,10,20.5,https://howlongtobeat.com/games/38887_Human_Fall_Flat.jpg,38887
Snake Pass,5.5,9,12,https://howlongtobeat.com/games/44371_Snake_Pass.jpg,44371
Timespinner,5.5,8,12.5,https://howlongtobeat.com/games/Timespinner_header.jpg,26279
Astrologaster,5.5,7.5,12,https://howlongtobeat.com/games/67977_Astrologaster.jpg,67977
Absolver,5.5,7,10,https://howlongtobeat.com/games/38126_Absolver.jpg,38126
Neon Chrome,5,8.5,15,https://howlongtobeat.com/games/37563_Neon_Chrome.jpg,37563
Kona,5,7,9.5,https://howlongtobeat.com/games/20888_Kona.jpg,20888
Deliver Us The Moon,5,6,6,https://howlongtobeat.com/games/71372_Deliver_Us_The_Moon.jpg,71372
Machinarium,5,5.5,6,https://howlongtobeat.com/games/Machinarium-cover_art.png,5478
The Turing Test,5,5.5,6,https://howlongtobeat.com/games/38891_the_turing_test.jpg,38891
Levelhead,5,0,41,https://howlongtobeat.com/games/76093_Levelhead.jpg,76093
Descenders,4.5,18,0,https://howlongtobeat.com/games/55598_Descenders.jpg,55598
Moving Out,4.5,8.5,11,https://howlongtobeat.com/games/75031_Moving_Out.jpg,75031
Oxenfree,4.5,5.5,12.5,https://howlongtobeat.com/games/Oxenfree_header.jpg,33620
Riverbond,4.5,5,5.5,https://howlongtobeat.com/games/67076_Riverbond.jpg,67076
Sea Salt,4.5,4.5,0,https://howlongtobeat.com/games/72036_Sea_Salt.jpg,72036
Jetpac Refuelled,4.5,0,0,https://howlongtobeat.com/games/Jetpacrefulledcover.png,21825
Panzer Dragoon Orta,4,8.5,18.5,https://howlongtobeat.com/games/256px-Panzercover.jpg,6902
Halo Spartan Assault,4,5.5,14,https://howlongtobeat.com/games/Halo-spartan-assault-boxart.png,4272
Creature in the Well,4,5,6.5,https://howlongtobeat.com/games/68145_Creature_in_the_Well.jpg,68145
My Friend Pedro,4,5,6,https://howlongtobeat.com/games/57520_My_Friend_Pedro.jpg,57520
Clustertruck,3.5,5,8,https://howlongtobeat.com/games/40215_Clustertruck.jpg,40215
Streets of Rage 4,3,6,16,https://howlongtobeat.com/games/76482_Streets_of_Rage_4.jpg,76482
Untitled Goose Game,3,4,5,https://howlongtobeat.com/games/66086_Untitled_Goose_Game.jpg,66086
Gato Roboto,3,4,4,https://howlongtobeat.com/games/67569_Gato_Roboto.jpg,67569
Pikuniku,3,3.5,5,https://howlongtobeat.com/games/64060_Pikuniku.jpg,64060
SUPERHOT,2.5,4.5,20,https://howlongtobeat.com/games/superhot-splash-logoless.jpg,21723
Hydro Thunder,2.5,4.5,6.5,https://howlongtobeat.com/games/256px-Hydro_Thunder_DC_cover.jpg,4557
The Gardens Between,2.5,2.5,2.5,https://howlongtobeat.com/games/56088_The_Gardens_Between.jpg,56088
Reigns Game of Thrones,2,8,11,https://howlongtobeat.com/games/61971_Reigns_Game_of_Thrones.jpg,61971
Power Rangers Battle for the Grid,2,6,0,https://howlongtobeat.com/games/65929_Power_Rangers_Battle_for_the_Grid.jpeg,65929
Goat Simulator,2,5.5,9,https://howlongtobeat.com/games/Goat_Simulator.jpg,17536
Westerado Double Barreled,2,4.5,13,https://howlongtobeat.com/games/Westerado_Double_Barreled_header.jpg,25901
HyperDot,2,4.5,5,https://howlongtobeat.com/games/77188_HyperDot.jpg,77188
What Remains of Edith Finch,2,2.5,3,https://howlongtobeat.com/games/45392_What_Remains_of_Edith_Finch.jpg,45392
Old Mans Journey,1.5,1.5,1.5,https://howlongtobeat.com/games/45957_Old_Mans_Journey.jpg,45957
Totally Reliable Delivery Service,1,10,0,https://howlongtobeat.com/games/69333_Totally_Reliable_Delivery_Service.jpg,69333
Ticket to Ride,1,2,9.5,https://howlongtobeat.com/games/Tickettoride_logo.jpg,10330
Tracks  The Train Set Game,1,1,1.5,https://howlongtobeat.com/games/53231_Tracks_-_The_Train_Set_Game.jpg,53231
Pandemic The Board Game,1,0,25,https://howlongtobeat.com/games/47069_Pandemic_The_Board_Game.jpg,47069
Football Manager 2020,0,580,736,https://howlongtobeat.com/games/72042_Football_Manager_2020.jpg,72042
MechWarrior 5 Mercenaries,0,46.5,60,https://howlongtobeat.com/games/67949_Mechwarrior_5.jpg,67949
Vambrace Cold Soul,0,19,0,https://howlongtobeat.com/games/67877_Vambrace_Cold_Soul.jpg,67877
Wasteland Remastered,0,18.5,0,https://howlongtobeat.com/games/74755_Wasteland_Remastered.jpg,74755
Supermarket Shriek,0,6.5,0,https://howlongtobeat.com/games/68137_Supermarket_Shriek.jpeg,68137
PlayerUnknowns Battlegrounds,0,0,131,https://howlongtobeat.com/games/44704_PlayerUnknowns_Battlegrounds.jpg,44704
Faeria,0,0,115,https://howlongtobeat.com/games/35873_Faeria.jpg,35873
Space Hulk Tactics,0,0,21,https://howlongtobeat.com/games/63044_Space_Hulk_Tactics.jpg,63044
Bleeding Edge,0,0,6.5,https://howlongtobeat.com/games/68093_Bleeding_Edge.jpg,68093
Secret Neighbor,0,0,3,https://howlongtobeat.com/games/69815_Secret_Neighbor.jpg,69815
IDARB,0,0,2.5,https://howlongtobeat.com/games/IDARB.jpg,23224
The Jackbox Party Pack 3,0,0,2.5,https://howlongtobeat.com/games/40718_The_Jackbox_Party_Pack_3.jpg,40718
F1® 2018,,,,,
Europa Universalis IV - Microsoft Store Edition,,,,,
Age of Empires Definitive Edition,,,,,
Bad North: Jotunn Edition,,,,,
Fishing Sim World®: Pro Tour,,,,,
EVERSPACE™,,,,,
Dead by Daylight: Special Edition,,,,,
ACE COMBAT™ 7: SKIES UNKNOWN,,,,,
Deliver Us The Moon.,,,,,
A Plague Tale: Innocence - Windows 10,,,,,
GoNNER - BLüEBERRY EDiTION,,,,,
Forza Horizon 4 Standard Edition,,,,,
Frostpunk: Console Edition,,,,,
Fuzion Frenzy®,,,,,
Rocket League®,,,,,
Pikuniku Win10,,,,,
Halo Wars 2: Standard Edition,,,,,
Hearts of Iron IV: Cadet Edition,,,,,
The Walking Dead: A New Frontier - The Complete Season (Episodes 1-5),,,,,
The Lord of the Rings: Adventure Card Game - Definitive Edition,,,,,
NieR:Automata™ BECOME AS GODS Edition,,,,,
The Surge 2 - Windows 10,,,,,
Halo Wars: Definitive Edition (PC),,,,,
Rush: A DisneyPixar Adventure,,,,,
The LEGO® NINJAGO® Movie Video Game,,,,,
Gears Tactics - Windows 10,,,,,
Pillars of Eternity: Hero Edition,,,,,
Stellaris: Console Edition,,,,,
Middle-earth™: Shadow of War™,,,,,
Train Sim World® 2020,,,,,
"The Walking Dead: Michonne - Ep. 3, What We Deserve",,,,,
"The Walking Dead: Michonne - Ep. 2, Give No Shelter",,,,,
The Walking Dead: Season Two,,,,,
Wolfenstein® II: The New Colossus™,,,,,
Totally Accurate Battle Simulator (Game Preview),,,,,
Two Point Hospital™,,,,,
The Walking Dead: Michonne - The Complete Season,,,,,
Viva Piñata: TIP,,,,,
WORLD OF HORROR (Game Preview),,,,,
Wasteland 2: Director's Cut for Windows 10,,,,,
Wasteland 3 (PC),,,,,
Wasteland 3 (Xbox One),,,,,
Yakuza Kiwami for Windows 10,,,,,
